"who","color","heading","xcor","ycor","in.bounds.","adaptive.","this.district.act","pref.d1","pref.d2","pref.d3","this.act.sal.d1","this.act.sal.d2","this.act.sal.d3"
"2379","0","306","-7.853872309","-8.429746586","TRUE","TRUE","9","-7.853872309468959","-8.429746586314543","4.741774673278632","0.9030300059756564","0.09696771944005793","2.274584285610423E-6"
"2380","15","108","4.996651326","-12.00035126","TRUE","TRUE","9","4.99665132640816","-12.000351257746033","2.0321791311080433","0.4965420174610647","0.47160970919283546","0.03184827334609987"
"2381","0","298","-7.778916191","-2.947058847","TRUE","TRUE","9","-7.778916191257509","-2.9470588474230603","-6.621371168741117","0.46035061690784385","0.34597310221292216","0.19367628087923403"
"2382","0","184","2.128068149","3.671320452","TRUE","TRUE","9","2.128068149066573","3.671320452011881","5.19272157861648","0.2884644546297892","0.38406618845222146","0.3274693569179893"
"2383","0","116","6.34483994","4.903908388","TRUE","TRUE","9","6.344839939681442","4.903908388224345","-3.1804263682501364","0.6147067595244317","0.3852925501441346","6.90331433800364E-7"
"2384","15","107","4.335721578","-3.987913487","TRUE","TRUE","9","4.335721578442531","-3.987913486817574","-12.885479600683029","0.8379663840747934","0.1602252210138114","0.0018083949113951547"
"2385","0","281","2.323188492","-5.891317351","TRUE","TRUE","9","2.3231884923593595","-5.891317351334836","1.1075294884453122","0.9944035437281611","0.00559509034145326","1.3659303855416766E-6"
"2386","105","267","5.240458823","6.103793154","TRUE","TRUE","9","5.240458822843832","6.103793153500152","2.7271646779307237","0.33117066955774005","0.6687119095442274","1.1742089803251742E-4"
"2387","0","224","1.91631657","-15.7825916","TRUE","TRUE","9","1.9163165703158513","-15.782591604645216","0.386509350354042","0.911988787009251","0.08801121299074907","7.155096251042425E-17"
"2388","0","267","9.262966016","1.703995513","TRUE","TRUE","10","9.262966015737515","1.7039955127622388","4.536509627062902","0.28096697300662377","0.36134703895809617","0.3576859880352801"
"2389","105","87","16.3234324","6.494198242","TRUE","TRUE","10","16.323432401936138","6.494198241637515","1.3290225526399113","0.28331987639168027","0.7166796746121474","4.489961721712166E-7"
"2390","0","157","-6.873065128","17.88754579","TRUE","TRUE","10","-6.873065128224375","17.887545792436192","7.2587924113343645","0.8994234490394487","0.10057350280345002","3.0481571010888326E-6"
"2391","0","212","3.449256836","17.98391386","TRUE","TRUE","10","3.4492568358653735","17.983913856081244","-4.724284204419389","0.6801381516722292","0.1422615056192342","0.17760034270853672"
"2392","105","322","9.481789015","10.00360353","TRUE","TRUE","10","9.481789015382859","10.003603529126622","0.9863714126887733","0.28669506523858024","0.71324142040075","6.351436066982166E-5"
"2393","0","168","17.67927843","5.473328116","TRUE","TRUE","10","17.679278426441492","5.473328115850785","10.23761892299308","0.28180405638967676","0.7032351545055208","0.014960789104802459"
"2394","0","3","4.186958564","2.82509012","TRUE","TRUE","10","4.186958563653324","2.8250901204743446","-4.306497620184217","0.38424718689464604","0.610962257718932","0.004790555386421918"
"2395","0","340","11.90298235","2.303326438","TRUE","TRUE","10","11.902982352667824","2.303326437649726","3.4486282150850247","0.8480422160113371","0.1519482680093693","9.51597929371615E-6"
"2396","0","145","17.97244519","4.124607577","TRUE","TRUE","10","17.97244519004242","4.124607576753021","6.082622025279116","0.30945456719517894","0.14801798827476703","0.5425274445300541"
"2397","0","27","2.938551201","7.690828663","TRUE","TRUE","10","2.938551200810375","7.690828662531739","2.118846637377103","0.9064656351132592","0.08621814198715011","0.007316222899590785"
"2398","15","328","-12.0136272","-8.019036793","TRUE","TRUE","11","-12.013627198133854","-8.019036792789882","6.570201943146514","0.281030390644065","0.718969607796028","1.5599067872300976E-9"
"2399","0","45","-0.082481314","11.45717118","TRUE","FALSE","11","-0.08248131427937277","11.457171175416335","11.413314937664175","0.52842609158884","0.4715731607889789","7.476221810661079E-7"
"2400","0","294","5.80132335","5.24009519","TRUE","TRUE","11","5.801323350448914","5.240095190371229","1.893096723056647","0.7617313114104184","0.0184508122312161","0.21981787635836564"
"2401","0","106","-19.68510215","1.796445518","TRUE","TRUE","11","-19.685102153901227","1.7964455184021313","4.516389001688799","0.3390913768482272","0.325453946978284","0.33545467617348884"
"2402","0","74","-7.813566825","-20.02607184","TRUE","FALSE","11","-7.813566824711804","-20.026071838766537","5.3922424161638105","0.7264616886530281","0.2729952688899149","5.430424570570674E-4"
"2403","0","155","-7.925761399","-2.431728348","TRUE","TRUE","11","-7.925761399473492","-2.431728347706174","-3.3215079090624213","0.9729485235820612","0.0014018755929927846","0.02564960082494599"
"2404","0","328","-5.691082446","-11.77658378","TRUE","TRUE","11","-5.6910824457130715","-11.776583778078036","0.8712091874519132","0.37050084401327077","0.11405978079741777","0.5154393751893115"
"2405","0","100","-18.46381223","0.316671577","TRUE","TRUE","11","-18.46381222844948","0.3166715773755664","3.0122440914166426","0.8097272499815682","0.051655631400182186","0.13861711861824963"
"2406","0","103","-3.743129699","-8.310047071","TRUE","TRUE","11","-3.7431296992745335","-8.31004707119249","1.3277569676291123","0.5480798424949079","0.27506370445218825","0.17685645305290387"
"2407","0","172","-17.65758865","2.30505606","TRUE","TRUE","11","-17.657588648446975","2.305056059998301","0.46795735181138887","0.2851515857277921","0.7148483231134865","9.115872139673597E-8"
"2408","0","179","-0.757241499","1.820007851","TRUE","TRUE","12","-0.7572414987071383","1.8200078510203506","6.26418191399303","0.33129941385756567","0.6617157915245203","0.006984794617914092"
"2409","0","3","-2.805742001","-0.6049731","TRUE","TRUE","12","-2.8057420013247474","-0.604973100332761","11.123816915431343","0.281382986083103","0.4390238270796859","0.27959318683721124"
"2410","0","227","-1.080204764","6.840156669","TRUE","TRUE","12","-1.0802047643044537","6.840156668508814","8.927704138018647","0.2960986265628651","0.7039012006237702","1.7281336458614452E-7"
"2411","15","254","3.787520864","-12.72132839","TRUE","TRUE","12","3.7875208637774485","-12.721328386905526","-10.415907765012715","0.28143910695677454","0.7185260501731552","3.48428700703314E-5"
"2412","0","128","-19.73291878","-5.074695514","TRUE","TRUE","12","-19.73291877766301","-5.074695514266722","13.610699892682831","0.281941493912065","0.05683208149979701","0.6612264245881381"
"2413","0","1","-6.232106015","-2.160378459","TRUE","TRUE","12","-6.23210601473959","-2.160378458804209","0.9433463645488409","0.2837480547849068","0.7162519452150932","5.6160727412540605E-18"
"2414","0","292","-0.913567251","-17.17406059","TRUE","TRUE","12","-0.9135672507100958","-17.174060590238685","9.602730238287407","0.9271436692853099","0.07285633071469008","4.113179178537964E-18"
"2415","0","171","0.221006613","-0.360402103","TRUE","TRUE","12","0.22100661268564092","-0.3604021033983553","-0.24702284948509057","0.3278177357047913","0.6654055582467128","0.006776706048495987"
"2416","15","139","4.312464607","-11.72736184","TRUE","TRUE","12","4.312464607127238","-11.727361844654109","5.910184688184478","0.2898355628529311","0.7073630829706256","0.0028013541764433983"
"2417","15","220","1.455601422","7.392840838","TRUE","TRUE","12","1.4556014223145466","7.39284083790952","2.3281078908289894","0.8532034922155859","0.13314713916844365","0.013649368615970608"
"2418","105","115","-8.885615677","15.88491389","TRUE","TRUE","13","-8.885615677112956","15.88491389128836","2.3987243329917383","0.9964474865878453","0.0034475786148800095","1.0493479727455315E-4"
"2419","0","50","14.17161181","13.07010274","TRUE","TRUE","13","14.171611810879787","13.070102741832802","-1.6585028852653574","0.28664250075076503","0.3440379642301745","0.3693195350190605"
"2420","0","259","6.396682248","18.77014844","TRUE","TRUE","13","6.396682247713811","18.770148440615667","-5.171087552058479","0.7219613660825847","0.20345115230718047","0.07458748161023476"
"2421","0","248","15.58913751","14.33650919","TRUE","TRUE","13","15.589137513811313","14.336509193704398","-5.695489471124715","0.8904472195425374","0.10954925191055358","3.528546909089889E-6"
"2422","0","233","23.10373043","9.880584702","TRUE","TRUE","13","23.103730427932614","9.880584701636858","-0.023300821899670865","0.514264032941254","0.4594124384247721","0.02632352863397382"
"2423","105","92","1.185746511","13.32617298","TRUE","TRUE","13","1.1857465109725398","13.326172983672201","17.076355793395148","0.38098329369484146","0.6190023969570106","1.4309348147829552E-5"
"2424","0","192","11.35250607","10.89719117","TRUE","TRUE","13","11.352506071775258","10.897191171406872","-10.922769811214117","0.3359044607202704","0.0018320141004299576","0.6622635251792995"
"2425","0","206","4.545976424","5.423109139","TRUE","TRUE","13","4.545976423540602","5.42310913901747","3.3000849134579666","0.7092253793524796","0.29077016170291087","4.458944609447215E-6"
"2426","0","8","8.35975502","1.708239124","TRUE","TRUE","13","8.359755019735617","1.7082391241011647","-7.2056489619144735","0.7998622083245546","0.20013779165268997","2.275539258940984E-11"
